BlockSize,k,Alpha,ClusteringTime,MiningTime,EncodingTime,CompressionTime,DecompressionTime,ClusterTableSize,CodeTableSize,EncodedImageSize,CompressedSize,ActualSize,JPEG Size,GIF Size,JPEG Cr,GIF Cr,Our Cr,CRP Actual,CRP JPEG,CRP GIF
32,8,10,0.006154,26.635052,5.792923,32.588062,264.636001,9.216,35.2391666667,254.346,298.801166667,786.6,404,226,1.94702970297,3.48053097345,2.63251984179,62.0135816595,26.0393151815,-32.2129056047
32,8,22,0.004052,11.342281,3.327755,14.723704,98.927627,9.216,12.8056666667,259.305,281.326666667,786.6,404,226,1.94702970297,3.48053097345,2.7960378208,64.2351046699,30.3646864686,-24.4808259587
32,8,34,0.00430399999999,5.526571,2.274272,7.831756,51.97053,9.216,6.15683333333,260.536,275.908833333,786.6,404,226,1.94702970297,3.48053097345,2.85094170599,64.923870667,31.7057343234,-22.0835545723
32,8,46,0.004052,3.77357,1.785348,5.588656,33.662456,9.216,3.55366666667,261.753,274.522666667,786.6,404,226,1.94702970297,3.48053097345,2.86533716706,65.1000932282,32.0488448845,-21.4702064897
32,8,58,0.00406500000008,2.764848,1.520675,4.304136,20.890198,9.216,2.16333333333,267.89,279.269333333,786.6,404,226,1.94702970297,3.48053097345,2.81663579245,64.4966522587,30.8739273927,-23.5705014749
32,8,70,0.00399500000003,2.245565,1.353766,3.61422,15.64855,9.216,1.47266666667,271.277,281.965666667,786.6,404,226,1.94702970297,3.48053097345,2.78970134662,64.1538689719,30.2065181518,-24.7635693215
32,8,82,0.00406099999998,1.497398,1.074498,2.58772,9.852938,9.216,0.794833333333,273.753,283.763833333,786.6,404,226,1.94702970297,3.48053097345,2.77202344908,63.9252690906,29.7614273927,-25.5592182891
32,8,94,0.00411400000007,0.624956,0.649449,1.285557,3.932274,9.216,0.2715,241.672,251.1595,786.6,404,226,1.94702970297,3.48053097345,3.13187436669,68.0702390033,37.8318069307,-11.1325221239
32,12,10,0.00411200000008,48.476858,6.501793,55.08403,289.964888,13.824,25.4866666667,330.219,369.529666667,786.6,404,226,1.94702970297,3.48053097345,2.12865182678,53.0219086363,8.53226072607,-63.5087020649
32,12,22,0.00478299999997,13.583712,3.305081,16.927695,77.649038,13.824,7.3625,325.13,346.3165,786.6,404,226,1.94702970297,3.48053097345,2.27133272599,55.9729849987,14.2780940594,-53.2373893805
32,12,34,0.0040939999999,10.027445,2.599077,12.652938,49.0221,13.824,4.13666666667,330.446,348.406666667,786.6,404,226,1.94702970297,3.48053097345,2.25770651155,55.7072633274,13.7607260726,-54.1622418879
32,12,46,0.00410000000011,7.246179,2.16984,9.435024,31.328733,13.824,2.50616666667,333.909,350.239166667,786.6,404,226,1.94702970297,3.48053097345,2.24589387728,55.4742986694,13.3071369637,-54.9730825959
32,12,58,0.00397300000009,5.003309,1.722399,6.742431,18.663798,13.824,1.39983333333,331.816,347.039833333,786.6,404,226,1.94702970297,3.48053097345,2.26659859891,55.8810280532,14.0990511551,-53.5574483776
32,12,70,0.00475899999992,3.708547,1.444586,5.167459,13.229866,13.824,0.919666666667,326.675,341.418666667,786.6,404,226,1.94702970297,3.48053097345,2.30391620845,56.5956436986,15.4904290429,-51.0702064897
32,12,82,0.00397500000008,1.854317,1.145769,3.012213,8.54441,13.824,0.555833333333,310.54,324.919833333,786.6,404,226,1.94702970297,3.48053097345,2.42090484884,58.6931307738,19.5742986799,-43.7698377581
32,12,94,0.00483000000008,0.678493,0.580981,1.271134,3.138204,13.824,0.1445,291.811,305.7795,786.6,404,226,1.94702970297,3.48053097345,2.57244190667,61.1264302059,24.3120049505,-35.3006637168
32,16,10,0.00408100000004,56.688089,6.728079,63.508329,226.797773,19.968,18.8523333333,367.918,406.738333333,786.6,404,226,1.94702970297,3.48053097345,1.93392148105,48.2915925078,-0.677805280528,-79.9727138643
32,16,22,0.00413200000003,25.303612,3.872899,29.210872,83.670593,19.968,6.50933333333,370.737,397.214333333,786.6,404,226,1.94702970297,3.48053097345,1.98029107711,49.5023730825,1.67962046205,-75.7585545723
32,16,34,0.00412600000004,15.912189,2.908189,18.844575,44.629032,19.968,3.23933333333,368.185,391.392333333,786.6,404,226,1.94702970297,3.48053097345,2.00974810442,50.2425205526,3.12070957096,-73.1824483776
32,16,46,0.0041490000001,11.419236,2.373068,13.810014,26.664277,19.968,1.89183333333,371.628,393.487833333,786.6,404,226,1.94702970297,3.48053097345,1.99904529026,49.9761208577,2.60202145215,-74.109660767
32,16,58,0.00397199999998,8.900224,2.114143,11.028775,21.059709,19.968,1.43616666667,366.106,387.510166667,786.6,404,226,1.94702970297,3.48053097345,2.02988222675,50.7360581405,4.08164191419,-71.4646755162
32,16,70,0.00417900000002,4.581588,1.641912,6.239544,13.690937,19.968,0.874166666667,353.252,374.094166667,786.6,404,226,1.94702970297,3.48053097345,2.10267913827,52.441626409,7.4024339934,-65.5283923304
32,16,82,0.00400299999978,1.784431,1.051747,2.848257,6.318766,19.968,0.3515,338.683,359.0025,786.6,404,226,1.94702970297,3.48053097345,2.19107109282,54.3602212052,11.1379950495,-58.8506637168
32,16,94,0.00399199999993,1.17818,0.720613,1.90866,3.660576,19.968,0.147333333333,335.644,355.759333333,786.6,404,226,1.94702970297,3.48053097345,2.21104529467,54.7725230952,11.9407590759,-57.4156342183
32,20,10,0.00514999999996,61.652994,6.397517,68.11511,191.343954,24.96,14.5013333333,395.683,435.144333333,786.6,404,226,1.94702970297,3.48053097345,1.80767607376,44.6803542673,-7.70899339934,-92.541740413
32,20,22,0.00401699999975,33.010215,4.083829,37.124955,77.408007,24.96,5.63833333333,401.128,431.726333333,786.6,404,226,1.94702970297,3.48053097345,1.82198753995,45.1148826172,-6.86295379538,-91.0293510324
32,20,34,0.00417599999992,22.02745,3.076548,25.12628,42.988116,24.96,2.885,402.92,430.765,786.6,404,226,1.94702970297,3.48053097345,1.82605364874,45.2370963641,-6.625,-90.6039823009
32,20,46,0.00399000000016,15.488215,2.68007,18.1845,31.776386,24.96,2.0035,395.097,422.0605,786.6,404,226,1.94702970297,3.48053097345,1.86371385145,46.3436943809,-4.47042079208,-86.7524336283
32,20,58,0.00421300000016,8.539102,2.1437,10.698739,19.922721,24.96,1.27833333333,382.715,408.953333333,786.6,404,226,1.94702970297,3.48053097345,1.92344684805,48.0100008475,-1.22607260726,-80.9528023599
32,20,70,0.00402699999995,4.457707,1.609544,6.081112,12.28779,24.96,0.726166666667,373.706,399.392166667,786.6,404,226,1.94702970297,3.48053097345,1.96949280845,49.2255063988,1.14055280528,-76.7221976401
32,20,82,0.00396000000001,1.989497,0.945177,2.943309,5.348459,24.96,0.242666666667,363.694,388.896666667,786.6,404,226,1.94702970297,3.48053097345,2.02264526138,50.5597932028,3.73844884488,-72.0781710914
32,20,94,0.00408999999991,1.826891,0.844138,2.679898,4.221765,24.96,0.157833333333,367.808,392.925833333,786.6,404,226,1.94702970297,3.48053097345,2.00190451548,50.0475675905,2.74113036304,-73.8609882006
32,24,10,0.00414300000011,77.845981,6.893355,84.801204,193.755956,29.952,13.7118333333,422.962,466.625833333,786.6,404,226,1.94702970297,3.48053097345,1.68571892898,40.6781295025,-15.5014438944,-106.47160767
32,24,22,0.00484899999992,40.195631,4.19414,44.42107,74.401444,29.952,4.91383333333,426.286,461.151833333,786.6,404,226,1.94702970297,3.48053097345,1.70572887961,41.3740359352,-14.1464933993,-104.049483776
32,24,34,0.0041839999999,25.435285,3.275099,28.73066,46.156848,29.952,2.8685,420.914,453.7345,786.6,404,226,1.94702970297,3.48053097345,1.73361293884,42.3169972032,-12.310519802,-100.767477876
32,24,46,0.00408400000015,16.630817,2.867221,19.515885,30.891874,29.952,2.03016666667,413.547,445.529166667,786.6,404,226,1.94702970297,3.48053097345,1.76554097655,43.3601364522,-10.2794966997,-97.13679941
32,24,58,0.00411299999996,8.488778,2.18164,10.684538,19.370191,29.952,1.1925,401.891,433.0355,786.6,404,226,1.94702970297,3.48053097345,1.81647924939,44.9484490211,-7.1870049505,-91.6086283186
32,24,70,0.00413899999967,3.993926,1.476554,5.483222,10.409694,29.952,0.535333333333,390.993,421.480333333,786.6,404,226,1.94702970297,3.48053097345,1.86627924909,46.4174506314,-4.32681518152,-86.4957227139
32,24,82,0.00390900000002,2.71086,1.029019,3.752143,5.65124,29.952,0.246166666667,386.221,416.419166667,786.6,404,226,1.94702970297,3.48053097345,1.88896204345,47.0608738029,-3.07405115512,-84.2562684366
32,24,94,0.00406999999996,2.588047,0.97575,3.576236,4.813123,29.952,0.173166666667,391.595,421.720166667,786.6,404,226,1.94702970297,3.48053097345,1.86521789133,46.3869607594,-4.38617986799,-86.6018436578
32,28,10,0.00685300000032,95.368783,7.202849,102.652377,210.93114,34.944,13.26,443.37,491.574,786.6,404,226,1.94702970297,3.48053097345,1.60016599739,37.5064836003,-21.6767326733,-117.510619469
32,28,22,0.00404100000014,47.123291,4.396889,51.54909,75.597111,34.944,4.73566666667,446.186,485.865666667,786.6,404,226,1.94702970297,3.48053097345,1.6189660105,38.2321806933,-20.2637788779,-114.98480826
32,28,34,0.00842000000011,28.325425,3.474453,31.831483,48.76679,34.944,2.96483333333,435.767,473.675833333,786.6,404,226,1.94702970297,3.48053097345,1.66062936854,39.7818671074,-17.2464933993,-109.591076696
32,28,46,0.00874599999997,15.082318,2.791943,17.903585,28.717073,34.944,1.81183333333,423.567,460.322833333,786.6,404,226,1.94702970297,3.48053097345,1.70880074383,41.4794262226,-13.9412953795,-103.682669617
32,28,58,0.00928199999998,7.853759,2.053261,9.930945,17.626248,34.944,1.0225,415.244,451.2105,786.6,404,226,1.94702970297,3.48053097345,1.74331049477,42.6378718535,-11.6857673267,-99.6506637168
32,28,70,0.00853899999993,4.228359,1.337416,5.590597,8.54793,34.944,0.412,404.669,440.025,786.6,404,226,1.94702970297,3.48053097345,1.78762570309,44.0598779558,-8.91707920792,-94.7013274336
32,28,82,0.00838900000008,3.755436,1.08644,4.86055,5.992713,34.944,0.246,404.228,439.418,786.6,404,226,1.94702970297,3.48053097345,1.79009508031,44.1370455123,-8.76683168317,-94.4327433628
32,28,94,0.00853499999994,3.698704,1.076886,4.794692,5.330713,34.944,0.196166666667,409.521,444.661166667,786.6,404,226,1.94702970297,3.48053097345,1.76898739752,43.4704847868,-10.0646452145,-96.7527286136
32,32,10,0.00406600000042,109.432262,7.315062,116.80628,192.816935,43.008,12.373,462.259,517.64,786.6,404,226,1.94702970297,3.48053097345,1.51958890349,34.1927281973,-28.1287128713,-129.044247788
32,32,22,0.00407499999983,55.120165,4.72009,59.869565,79.373148,43.008,4.9295,460.169,508.1065,786.6,404,226,1.94702970297,3.48053097345,1.54810064425,35.4047165014,-25.7689356436,-124.825884956
32,32,34,0.00427099999979,31.745705,3.70526,35.473781,53.593508,43.008,3.165,447.621,493.794,786.6,404,226,1.94702970297,3.48053097345,1.59297196807,37.2242562929,-22.2262376238,-118.492920354
32,32,46,0.00378300000011,14.228287,2.708164,16.952315,27.382123,43.008,1.64416666667,434.873,479.525166667,786.6,404,226,1.94702970297,3.48053097345,1.64037271593,39.0382447665,-18.6943481848,-112.179277286
32,32,58,0.0041570000003,7.315759,1.9001,9.228362,15.060068,43.008,0.815333333333,426.166,469.989333333,786.6,404,226,1.94702970297,3.48053097345,1.67365500494,40.2505297059,-16.3339933993,-107.959882006
32,32,70,0.00390699999934,5.005891,1.241828,6.258531,7.275285,43.008,0.318666666667,419.881,463.207666667,786.6,404,226,1.94702970297,3.48053097345,1.69815842138,41.1126790406,-14.6553630363,-104.959144543
32,32,82,0.00398700000005,4.872859,1.188204,6.074188,6.789521,43.008,0.2775,420.449,463.7345,786.6,404,226,1.94702970297,3.48053097345,1.69622920011,41.0457030257,-14.7857673267,-105.192256637
32,32,94,0.00394099999994,4.874804,1.17771,6.061442,6.104131,43.008,0.220166666667,424.852,468.080166667,786.6,404,226,1.94702970297,3.48053097345,1.68048137053,40.4932409526,-15.8614273927,-107.115117994
64,8,10,0.00408200000038,24.445355,5.517284,30.144409,260.219587,2.304,45.8875,205.092,253.2835,786.6,404,226,1.94702970297,3.48053097345,3.10561090636,67.80021612,37.3060643564,-12.0723451327
64,8,22,0.00412200000028,8.56543,2.726826,11.348998,86.124406,2.304,13.978,211.631,227.913,786.6,404,226,1.94702970297,3.48053097345,3.45131694989,71.025553013,43.5858910891,-0.846460176991
64,8,34,0.00485900000058,4.737885,1.875524,6.64402,42.637399,2.304,6.2925,216.634,225.2305,786.6,404,226,1.94702970297,3.48053097345,3.49242220747,71.3665776761,44.2498762376,0.340486725664
64,8,46,0.00394599999981,3.222754,1.457935,4.702825,28.197372,2.304,3.39233333333,222.611,228.307333333,786.6,404,226,1.94702970297,3.48053097345,3.44535582154,70.9754216459,43.4882838284,-1.0209439528
64,8,58,0.00410599999941,2.220821,1.168521,3.407,15.872093,2.304,1.86433333333,227.953,232.121333333,786.6,404,226,1.94702970297,3.48053097345,3.38874496671,70.4905500466,42.5442244224,-2.70855457227
64,8,70,0.0041570000003,1.28892,0.884689,2.186244,8.714366,2.304,0.914333333333,225.656,228.874333333,786.6,404,226,1.94702970297,3.48053097345,3.43682049684,70.903339266,43.3479372937,-1.27182890855
64,8,82,0.00402399999984,0.645294999999,0.609208,1.265376,4.273718,2.304,0.418,207.601,210.323,786.6,404,226,1.94702970297,3.48053097345,3.73996186817,73.2617594711,47.9398514851,6.93672566372
64,8,94,0.00406800000019,0.404089000001,0.395988,0.80973,2.372325,2.304,0.167,206.306,208.777,786.6,404,226,1.94702970297,3.48053097345,3.76765639893,73.458301551,48.3225247525,7.62079646018
64,12,10,0.00409499999932,35.860356,5.995326,41.962167,256.502259,3.456,28.42,282.812,314.688,786.6,404,226,1.94702970297,3.48053097345,2.49961866992,59.9938977879,22.1069306931,-39.2424778761
64,12,22,0.00432799999999,13.731755,3.022414,16.79625,74.268569,3.456,8.32066666667,290.111,301.887666667,786.6,404,226,1.94702970297,3.48053097345,2.6056049546,61.6211967116,25.275330033,-33.5786135693
64,12,34,0.00408600000083,8.993857,2.238621,11.259061,44.553372,3.456,4.07333333333,296.74,304.269333333,786.6,404,226,1.94702970297,3.48053097345,2.58520959501,61.318416815,24.6858085809,-34.6324483776
64,12,46,0.00397799999973,5.740148,1.761223,7.519532,24.204979,3.456,2.12833333333,300.075,305.659333333,786.6,404,226,1.94702970297,3.48053097345,2.57345323443,61.1417069243,24.3417491749,-35.2474926254
64,12,58,0.00604899999962,3.309449,1.309064,4.634161,12.872554,3.456,1.07933333333,289.807,294.342333333,786.6,404,226,1.94702970297,3.48053097345,2.67239846573,62.580430545,27.1429867987,-30.2399705015
64,12,70,0.00408400000015,1.234149,0.876855,2.121175,6.242935,3.456,0.493,270.183,274.132,786.6,404,226,1.94702970297,3.48053097345,2.86942057111,65.1497584541,32.1455445545,-21.2973451327
64,12,82,0.00408499999958,0.791146,0.635996999999,1.438107,3.871981,3.456,0.256166666667,266.197,269.909166667,786.6,404,226,1.94702970297,3.48053097345,2.91431376605,65.686604797,33.19080033,-19.4288348083
64,12,94,0.00411299999996,0.7121,0.553213,1.275382,3.041517,3.456,0.149,279.159,282.764,786.6,404,226,1.94702970297,3.48053097345,2.78182512625,64.0523773201,30.0089108911,-25.1168141593
64,16,10,0.00407799999994,48.132945,6.080711,54.307716,217.718196,4.992,20.2991666667,332.611,357.902166667,786.6,404,226,1.94702970297,3.48053097345,2.19780731513,54.5001059412,11.4103547855,-58.3637905605
64,16,22,0.0041369999999,24.237218,3.49203,27.765033,76.059089,4.992,6.71566666667,342.169,353.876666667,786.6,404,226,1.94702970297,3.48053097345,2.22280832305,55.0118654123,12.4067656766,-56.5825958702
64,16,34,0.00414400000045,14.573624,2.514112,17.108822,39.500062,4.992,3.11616666667,342.66,350.768166667,786.6,404,226,1.94702970297,3.48053097345,2.24250680293,55.4070472074,13.1761963696,-55.2071533923
64,16,46,0.00413599999956,8.015152,1.881238,9.911253,20.879775,4.992,1.61033333333,334.453,341.055333333,786.6,404,226,1.94702970297,3.48053097345,2.30637061826,56.6418340537,15.5803630363,-50.909439528
64,16,58,0.00410999999986,3.733271,1.441883,5.18718,12.244282,4.992,0.9165,322.131,328.0395,786.6,404,226,1.94702970297,3.48053097345,2.39788196239,58.2965293669,18.8021039604,-45.1502212389
64,16,70,0.0041940000001,1.588203,0.937163,2.537518,6.166846,4.992,0.3945,312.255,317.6415,786.6,404,226,1.94702970297,3.48053097345,2.47637666993,59.6184210526,21.3758663366,-40.5493362832
64,16,82,0.00411100000019,1.324969,0.762092,2.100449,4.353796,4.992,0.231833333333,315.208,320.431833333,786.6,404,226,1.94702970297,3.48053097345,2.45481228197,59.2636876006,20.685189769,-41.7839970501
64,16,94,0.00397799999973,1.228386,0.682105999999,1.919777,3.556266,4.992,0.144833333333,328.101,333.237833333,786.6,404,226,1.94702970297,3.48053097345,2.36047627645,57.635668277,17.5153877888,-47.4503687316
64,20,10,0.00416499999938,63.959527,6.227578,70.257519,201.729653,6.24,16.5965,371.81,394.6465,786.6,404,226,1.94702970297,3.48053097345,1.99317617159,49.828820239,2.31522277228,-74.6223451327
64,20,22,0.00398400000086,32.424209,3.700151,36.154819,74.344128,6.24,5.64833333333,379.039,390.927333333,786.6,404,226,1.94702970297,3.48053097345,2.01213865834,50.3016357318,3.23580858086,-72.9766961652
64,20,34,0.00490600000012,18.616585,2.680288,21.317439,39.972106,6.24,2.68316666667,375.523,384.446166667,786.6,404,226,1.94702970297,3.48053097345,2.04606019829,51.1255826765,4.84005775578,-70.1089233038
64,20,46,0.00416200000018,7.997088,1.99137,10.002322,19.870152,6.24,1.44383333333,361.052,368.735833333,786.6,404,226,1.94702970297,3.48053097345,2.13323449714,53.1228282058,8.72875412541,-63.1574483776
64,20,58,0.00408400000015,3.517627,1.396419,4.928948,11.025163,6.24,0.722833333333,351.021,357.983833333,786.6,404,226,1.94702970297,3.48053097345,2.19730593048,54.4897237054,11.390140264,-58.3999262537
64,20,70,0.00434800000039,2.136833,0.973202,3.120726,6.080762,6.24,0.337,346.258,352.835,786.6,404,226,1.94702970297,3.48053097345,2.22937066901,55.1442918891,12.6646039604,-56.1216814159
64,20,82,0.00414399999954,1.980396,0.874718,2.865059,4.787431,6.24,0.221333333333,351.907,358.368333333,786.6,404,226,1.94702970297,3.48053097345,2.19494840039,54.4408424443,11.2949669967,-58.5700589971
64,20,94,0.00403300000016,1.919966,0.834627,2.763693,4.267158,6.24,0.170333333333,360.686,367.096333333,786.6,404,226,1.94702970297,3.48053097345,2.14276180004,53.3312568862,9.1345709571,-62.4320058997
64,24,10,0.00398500000028,86.509673,6.79393,93.375497,208.804072,7.488,15.5161666667,403.103,426.107166667,786.6,404,226,1.94702970297,3.48053097345,1.84601448071,45.8292440037,-5.4720709571,-88.5429941003
64,24,22,0.00413899999967,39.804973,3.831287,43.664979,67.872183,7.488,4.87466666667,406.381,418.743666667,786.6,404,226,1.94702970297,3.48053097345,1.87847617198,46.7653614713,-3.64942244224,-85.2848082596
64,24,34,0.0040170000002,21.080292,2.928815,24.028675,40.191453,7.488,2.7285,398.506,408.7225,786.6,404,226,1.94702970297,3.48053097345,1.92453314902,48.0393465548,-1.16893564356,-80.8506637168
64,24,46,0.00482900000043,6.61598,1.911063,8.541516,18.040909,7.488,1.16116666667,380.203,388.852166667,786.6,404,226,1.94702970297,3.48053097345,2.02287673165,50.5654504619,3.74946369637,-72.058480826
64,24,58,0.00406000000021,3.564352,1.341778,4.918378,9.648305,7.488,0.571166666667,372.414,380.473166667,786.6,404,226,1.94702970297,3.48053097345,2.06742569231,51.6306678532,5.82347359736,-68.3509587021
64,24,70,0.00397299999986,2.893559,1.052138,3.956973,6.25626,7.488,0.307666666667,373.177,380.972666667,786.6,404,226,1.94702970297,3.48053097345,2.06471505392,51.567166709,5.6998349835,-68.5719764012
64,24,82,0.00404099999923,2.807356,0.996999999999,3.814353,5.468455,7.488,0.238833333333,379.229,386.955833333,786.6,404,226,1.94702970297,3.48053097345,2.03279013324,50.8065302144,4.21885313531,-71.2193952802
64,24,94,0.00408799999968,2.705073,0.960971,3.675787,4.513446,7.488,0.16,393.622,401.27,786.6,404,226,1.94702970297,3.48053097345,1.96027612331,48.9867785406,0.675742574257,-77.5530973451
64,28,10,0.00411799999983,98.50587,7.06109,105.636414,206.363505,8.736,14.4106666667,427.317,450.463666667,786.6,404,226,1.94702970297,3.48053097345,1.74620076647,42.7328163404,-11.5009075908,-99.3202064897
64,28,22,0.00409800000034,48.79953,4.270594,53.113889,78.675132,8.736,5.02466666667,426.684,440.444666667,786.6,404,226,1.94702970297,3.48053097345,1.78592240872,44.0065259768,-9.02095709571,-94.887020649
64,28,34,0.0039969999998,19.701226,3.041834,22.761371,38.52154,8.736,2.541,411.366,422.643,786.6,404,226,1.94702970297,3.48053097345,1.86114522185,46.269641495,-4.6146039604,-87.0101769912
64,28,46,0.00492000000031,6.171022,1.840977,8.026628,15.937079,8.736,0.950833333333,395.769,405.455833333,786.6,404,226,1.94702970297,3.48053097345,1.94003868074,48.4546359861,-0.360354785479,-79.4052359882
64,28,58,0.004097,4.129063,1.249234,5.388831,8.094005,8.736,0.420833333333,391.189,400.345833333,786.6,404,226,1.94702970297,3.48053097345,1.96480126557,49.1042673108,0.90449669967,-77.1441740413
64,28,70,0.00454900000022,4.007063,1.14544,5.163478,6.857544,8.736,0.3215,394.687,403.7445,786.6,404,226,1.94702970297,3.48053097345,1.94826183391,48.6721967963,0.0632425742574,-78.6480088496
64,28,82,0.00399599999946,3.911433,1.097955,5.020563,6.244892,8.736,0.268,399.379,408.383,786.6,404,226,1.94702970297,3.48053097345,1.92613306626,48.0825069921,-1.0849009901,-80.7004424779
64,28,94,0.00429700000041,3.747367,1.04687,4.803042,4.89727,8.736,0.163833333333,415.147,424.046833333,786.6,404,226,1.94702970297,3.48053097345,1.8549837852,46.0911729808,-4.96208745875,-87.6313421829
64,32,10,0.00414100000035,114.235706,7.341042,121.640183,225.31071,10.752,13.4786666667,446.081,470.311666667,786.6,404,226,1.94702970297,3.48053097345,1.67250794686,40.2095516569,-16.4137788779,-108.102507375
64,32,22,0.00397599999997,50.034164,4.39455,54.457221,75.98626,10.752,4.9025,440.665,456.3195,786.6,404,226,1.94702970297,3.48053097345,1.72379221138,41.9883676583,-12.9503712871,-101.911283186
64,32,34,0.00396400000045,17.110989,2.94185,20.069391,35.173824,10.752,2.24283333333,423.199,436.193833333,786.6,404,226,1.94702970297,3.48053097345,1.80332673204,44.5469319434,-7.96877062706,-93.006120944
64,32,46,0.00433100000009,6.390441,1.764514,8.166547,14.169977,10.752,0.816833333333,412.187,423.755833333,786.6,404,226,1.94702970297,3.48053097345,1.85625763264,46.1281676413,-4.89005775578,-87.5025811209
64,32,58,0.00394400000005,5.088026,1.306993,6.404633,8.361794,10.752,0.412333333333,409.091,420.255333333,786.6,404,226,1.94702970297,3.48053097345,1.87171925639,46.5731841681,-4.02359735974,-85.9536873156
64,32,70,0.0041229999988,4.971791,1.233165,6.220337,7.62414,10.752,0.324,414.04,425.116,786.6,404,226,1.94702970297,3.48053097345,1.8503185013,45.955250445,-5.22673267327,-88.1044247788
64,32,82,0.0040910000007,4.917755,1.196848,6.12479,6.720145,10.752,0.281,417.866,428.899,786.6,404,226,1.94702970297,3.48053097345,1.83399821403,45.4743198576,-6.16311881188,-89.7783185841
